INSTITUTO ELECTORAL DEL ESTADO DE MÉXICO,,,,,,,,,,,,
PADRÓN ELECTORAL Y LISTA NOMINAL ESTADO DE MEXICO,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Fecha de corte: 31 de ENERO de 2026,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ENTIDAD,DISTRITO,DISTRITO_LOCAL,MUNICIPIO,SECCION,PADRON_HOMBRES,PADRON_MUJERES,PADRON_NOBINARIO,PADRON,LISTA_HOMBRES,LISTA_MUJERES,LISTA_NOBINARIO,LISTA
15,0,0,0,0,43742,29526,0,73268,19603,13939,0,33542
15,1,13,65,3863,433,502,0,935,420,495,0,915
15,1,13,65,3864,882,1025,0,1907,868,1012,0,1880
15,1,13,65,3865,666,787,0,1453,661,774,0,1435
15,1,13,65,3866,679,760,0,1439,666,747,0,1413
15,1,13,65,3868,1193,1254,0,2447,1184,1242,0,2426
15,1,13,65,3869,1445,1569,0,3014,1425,1556,0,2981
15,1,13,65,3870,1447,1550,0,2997,1430,1533,0,2963
15,1,13,65,3871,352,385,0,737,347,381,0,728
15,1,13,65,3872,218,263,0,481,215,261,0,476
15,1,13,65,3873,709,839,0,1548,705,831,0,1536
15,1,13,65,3874,1097,1330,0,2427,1085,1308,0,2393
15,1,13,65,3875,1009,1096,0,2105,999,1087,0,2086
15,1,13,65,3876,434,482,0,916,427,475,0,902
15,1,13,65,3877,810,889,0,1699,800,878,0,1678
15,1,13,65,3878,151,185,0,336,148,182,0,330
15,1,13,65,3879,194,231,0,425,192,230,0,422
15,1,13,65,6640,410,498,0,908,408,496,0,904
15,1,13,65,6873,867,1034,0,1901,855,1023,0,1878
15,1,13,65,6874,545,658,0,1203,541,655,0,1196
15,1,13,65,6875,188,233,0,421,185,233,0,418
15,1,13,86,4346,914,1056,0,1970,907,1044,0,1951
15,1,13,86,4347,525,638,0,1163,523,630,0,1153
15,1,13,86,4348,950,1056,0,2006,929,1032,0,1961
15,1,13,86,4349,933,1071,0,2004,917,1062,0,1979
15,1,13,86,4350,626,693,0,1319,614,680,0,1294
15,1,13,86,4351,1256,1442,0,2698,1238,1412,0,2650
15,1,13,86,4352,568,669,0,1237,558,658,0,1216
15,1,13,86,4353,601,680,0,1281,592,669,0,1261
15,1,13,86,4354,639,759,0,1398,625,745,0,1370
15,1,13,86,4355,409,480,0,889,407,473,0,880
15,1,13,86,4356,1146,1353,0,2499,1134,1339,0,2473
15,1,13,86,4357,706,830,0,1536,692,819,0,1511
15,1,13,86,4358,980,1065,0,2045,967,1051,0,2018
15,1,13,86,4359,1204,1407,0,2611,1185,1388,0,2573
15,1,13,86,4360,1083,1306,0,2389,1069,1290,0,2359
15,1,13,86,4361,794,834,0,1628,789,822,0,1611
15,1,13,86,4362,899,964,0,1863,887,944,0,1831
15,1,13,86,4363,978,1159,0,2137,965,1144,0,2109
15,1,13,86,4364,470,518,0,988,465,508,0,973
15,1,13,86,4365,266,310,0,576,265,309,0,574
15,1,13,86,4366,249,300,0,549,245,298,0,543
