SECCION,ANIO,TIPO_ELECCION,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_TOTALES,LISTA_NOMINAL_HIST
3922,2017,GUBERNATURA,5991.0,369.0,1328.0,2401.0
5169,2017,GUBERNATURA,5181.0,332.0,1240.0,2027.0
5169,2023,GUBERNATURA,5909.0,625.0,1336.0,2304.0
5170,2017,GUBERNATURA,5900.0,419.0,1510.0,2262.0
5170,2023,GUBERNATURA,6124.0,651.0,1530.0,2313.0
5171,2017,GUBERNATURA,3745.0,217.0,943.0,1431.0
5171,2023,GUBERNATURA,3878.0,386.0,957.0,1470.0
5172,2017,GUBERNATURA,2234.0,128.0,527.0,879.0
5172,2023,GUBERNATURA,2455.0,270.0,589.0,944.0
5173,2017,GUBERNATURA,3691.0,193.0,867.0,1450.0
5173,2023,GUBERNATURA,3998.0,377.0,933.0,1542.0
5174,2017,GUBERNATURA,5337.0,511.0,1918.0,1765.0
5174,2023,GUBERNATURA,5862.0,763.0,2253.0,1820.0
5175,2017,GUBERNATURA,4224.0,368.0,1093.0,1619.0
5175,2023,GUBERNATURA,4442.0,510.0,1138.0,1663.0
5176,2017,GUBERNATURA,4995.0,387.0,1359.0,1866.0
5176,2023,GUBERNATURA,5077.0,330.0,1341.0,1878.0
5177,2017,GUBERNATURA,5525.0,461.0,1426.0,2103.0
5177,2023,GUBERNATURA,6327.0,665.0,1563.0,2394.0
5178,2017,GUBERNATURA,5830.0,487.0,1480.0,2215.0
5178,2023,GUBERNATURA,6311.0,525.0,1600.0,2370.0
5179,2017,GUBERNATURA,4894.0,332.0,1257.0,1849.0
5179,2023,GUBERNATURA,5590.0,468.0,1450.0,2079.0
5180,2017,GUBERNATURA,3678.0,278.0,987.0,1375.0
5180,2023,GUBERNATURA,3671.0,338.0,968.0,1365.0
5181,2017,GUBERNATURA,2814.0,199.0,726.0,1070.0
5181,2023,GUBERNATURA,2743.0,234.0,692.0,1036.0
5182,2017,GUBERNATURA,1146.0,80.0,306.0,434.0
5182,2023,GUBERNATURA,1211.0,118.0,298.0,462.0
5183,2017,GUBERNATURA,2611.0,225.0,705.0,982.0
5183,2023,GUBERNATURA,2691.0,296.0,714.0,997.0
5184,2017,GUBERNATURA,2977.0,190.0,744.0,1148.0
5184,2023,GUBERNATURA,2953.0,308.0,751.0,1107.0
5185,2017,GUBERNATURA,5325.0,373.0,1346.0,2052.0
5185,2023,GUBERNATURA,5590.0,587.0,1374.0,2125.0
5186,2017,GUBERNATURA,4741.0,340.0,1236.0,1820.0
5186,2023,GUBERNATURA,4996.0,501.0,1264.0,1882.0
5187,2017,GUBERNATURA,3631.0,239.0,897.0,1413.0
5187,2023,GUBERNATURA,3892.0,410.0,921.0,1495.0
5188,2017,GUBERNATURA,7217.0,540.0,1827.0,2781.0
5188,2023,GUBERNATURA,8178.0,865.0,2024.0,3091.0
5189,2017,GUBERNATURA,3887.0,325.0,957.0,1504.0
5189,2023,GUBERNATURA,4309.0,483.0,1066.0,1636.0
5190,2017,GUBERNATURA,6198.0,453.0,1556.0,2392.0
5190,2023,GUBERNATURA,6885.0,819.0,1586.0,2678.0
5191,2017,GUBERNATURA,4577.0,403.0,1238.0,1715.0
5191,2023,GUBERNATURA,4982.0,460.0,1331.0,1839.0
5192,2017,GUBERNATURA,3460.0,271.0,926.0,1293.0
5192,2023,GUBERNATURA,3621.0,286.0,949.0,1350.0
5193,2017,GUBERNATURA,3299.0,228.0,871.0,1240.0
5193,2023,GUBERNATURA,3463.0,295.0,873.0,1306.0
5194,2017,GUBERNATURA,1027.0,66.0,255.0,396.0
5194,2023,GUBERNATURA,1063.0,92.0,262.0,404.0
5195,2017,GUBERNATURA,488.0,31.0,124.0,185.0
5195,2023,GUBERNATURA,456.0,35.0,112.0,172.0
5196,2017,GUBERNATURA,963.0,54.0,254.0,364.0
5196,2023,GUBERNATURA,887.0,73.0,217.0,337.0
5197,2017,GUBERNATURA,1107.0,71.0,273.0,430.0
5197,2023,GUBERNATURA,972.0,68.0,245.0,367.0
5198,2017,GUBERNATURA,3542.0,259.0,894.0,1346.0
5198,2023,GUBERNATURA,3407.0,316.0,856.0,1292.0
5199,2017,GUBERNATURA,1678.0,128.0,432.0,637.0
5199,2023,GUBERNATURA,1676.0,158.0,430.0,627.0
5200,2017,GUBERNATURA,2404.0,192.0,632.0,908.0
5200,2023,GUBERNATURA,2312.0,242.0,598.0,869.0
5201,2017,GUBERNATURA,3894.0,301.0,1049.0,1457.0
5201,2023,GUBERNATURA,4078.0,384.0,1054.0,1524.0
5202,2017,GUBERNATURA,3833.0,232.0,1032.0,1434.0
5202,2023,GUBERNATURA,4140.0,287.0,1111.0,1525.0
5203,2017,GUBERNATURA,7174.0,545.0,1912.0,2705.0
5203,2023,GUBERNATURA,7628.0,740.0,1964.0,2855.0
5204,2017,GUBERNATURA,435.0,20.0,118.0,163.0
5204,2023,GUBERNATURA,444.0,28.0,125.0,160.0
5205,2017,GUBERNATURA,1816.0,163.0,491.0,676.0
5205,2023,GUBERNATURA,1756.0,168.0,471.0,650.0
5206,2017,GUBERNATURA,2176.0,159.0,570.0,820.0
5206,2023,GUBERNATURA,2036.0,174.0,538.0,756.0
5207,2017,GUBERNATURA,1860.0,145.0,498.0,695.0
5207,2023,GUBERNATURA,1794.0,127.0,475.0,662.0
5208,2017,GUBERNATURA,691.0,57.0,190.0,256.0
5208,2023,GUBERNATURA,716.0,65.0,187.0,265.0
5209,2017,GUBERNATURA,827.0,79.0,204.0,318.0
