SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5169,2012,1156.0,681.0,21.0,48.0,1196.0,0.0,0.0
5169,2015,757.0,154.0,30.0,39.0,993.0,0.0,0.0
5169,2018,5477.0,548.0,34.0,30.0,1449.0,2120.0,68.35
5169,2021,5420.0,447.0,40.0,29.0,1126.0,2244.0,50.18
5169,2024,6006.0,779.0,72.0,35.0,1438.0,2369.0,60.7
5170,2012,1410.0,737.0,40.0,69.0,1506.0,0.0,0.0
5170,2015,926.0,176.0,37.0,44.0,1200.0,0.0,0.0
5170,2018,6140.0,648.0,54.0,45.0,1708.0,2347.0,72.77
5170,2021,5887.0,549.0,44.0,22.0,1384.0,2352.0,58.84
5170,2024,6074.0,771.0,125.0,33.0,1660.0,2317.0,71.64
5171,2012,982.0,549.0,19.0,38.0,1006.0,0.0,0.0
5171,2015,710.0,92.0,30.0,23.0,850.0,0.0,0.0
5171,2018,3775.0,367.0,28.0,23.0,1016.0,1449.0,70.12
5171,2021,3704.0,356.0,18.0,21.0,913.0,1448.0,63.05
5171,2024,3899.0,434.0,77.0,11.0,1025.0,1485.0,69.02
5172,2012,628.0,355.0,9.0,21.0,620.0,0.0,0.0
5172,2015,366.0,56.0,5.0,30.0,482.0,0.0,0.0
5172,2018,2389.0,244.0,12.0,11.0,626.0,909.0,68.87
5172,2021,2360.0,237.0,13.0,20.0,544.0,943.0,57.69
5172,2024,2527.0,381.0,46.0,20.0,701.0,950.0,73.79
5173,2012,985.0,589.0,15.0,29.0,982.0,0.0,0.0
5173,2015,586.0,68.0,39.0,37.0,768.0,0.0,0.0
5173,2018,4001.0,337.0,18.0,24.0,1018.0,1547.0,65.8
5173,2021,3751.0,292.0,30.0,17.0,823.0,1518.0,54.22
5173,2024,3872.0,421.0,93.0,28.0,982.0,1517.0,64.73
5174,2012,1318.0,620.0,9.0,32.0,1335.0,0.0,0.0
5174,2015,960.0,142.0,30.0,41.0,1198.0,0.0,0.0
5174,2018,4787.0,486.0,29.0,17.0,1379.0,1785.0,77.25
5174,2021,4896.0,530.0,20.0,15.0,1414.0,1791.0,78.95
5174,2024,4942.0,442.0,88.0,16.0,1413.0,1831.0,77.17
5175,2012,1108.0,570.0,21.0,38.0,1148.0,0.0,0.0
5175,2015,691.0,133.0,42.0,23.0,902.0,0.0,0.0
5175,2018,4454.0,517.0,37.0,24.0,1281.0,1674.0,76.52
5175,2021,4162.0,438.0,23.0,23.0,1007.0,1649.0,61.07
5175,2024,4412.0,547.0,87.0,19.0,1216.0,1670.0,72.81
5176,2012,1376.0,703.0,23.0,30.0,1413.0,0.0,0.0
5176,2015,901.0,131.0,38.0,43.0,1132.0,0.0,0.0
5176,2018,5060.0,537.0,39.0,23.0,1490.0,1888.0,78.92
5176,2021,4924.0,502.0,23.0,17.0,1265.0,1889.0,66.97
5176,2024,5051.0,497.0,108.0,21.0,1441.0,1876.0,76.81
5177,2012,1355.0,630.0,20.0,44.0,1409.0,0.0,0.0
5177,2015,919.0,145.0,32.0,57.0,1161.0,0.0,0.0
5177,2018,5820.0,661.0,40.0,45.0,1700.0,2194.0,77.48
5177,2021,5991.0,643.0,41.0,28.0,1465.0,2349.0,62.37
5177,2024,6335.0,726.0,176.0,32.0,1781.0,2413.0,73.81
5178,2012,1428.0,618.0,25.0,43.0,1494.0,0.0,0.0
5178,2015,969.0,141.0,37.0,61.0,1239.0,0.0,0.0
5178,2018,6047.0,626.0,34.0,35.0,1701.0,2270.0,74.93
5178,2021,6046.0,528.0,29.0,25.0,1496.0,2346.0,63.77
5178,2024,6257.0,517.0,123.0,30.0,1724.0,2359.0,73.08
5179,2012,1268.0,595.0,14.0,45.0,1304.0,0.0,0.0
5179,2015,809.0,124.0,38.0,33.0,1030.0,0.0,0.0
5179,2018,5161.0,555.0,37.0,18.0,1478.0,1937.0,76.3
5179,2021,5215.0,446.0,29.0,15.0,1293.0,2020.0,64.01
5179,2024,5705.0,492.0,113.0,31.0,1606.0,2129.0,75.43
5180,2012,1069.0,523.0,21.0,38.0,1098.0,0.0,0.0
5180,2015,628.0,111.0,31.0,29.0,800.0,0.0,0.0
5180,2018,3680.0,411.0,29.0,29.0,1061.0,1387.0,76.5
