SECCION,LISTA_NOMINAL_2026,HOMBRES_2026,MUJERES_2026
5176,1758.0,801.0,957.0
5267,3384.0,1556.0,1828.0
5268,3515.0,1648.0,1867.0
5269,5403.0,2542.0,2861.0
5270,3872.0,1809.0,2063.0
5272,3427.0,1543.0,1884.0
5363,5008.0,2419.0,2589.0
5364,3963.0,1913.0,2050.0
5365,2735.0,1291.0,1444.0
5367,2564.0,1207.0,1357.0
5387,1935.0,897.0,1038.0
5390,5482.0,2626.0,2856.0
5391,3142.0,1490.0,1652.0
5392,3393.0,1601.0,1792.0
5393,3506.0,1682.0,1824.0
5394,4341.0,2032.0,2309.0
5395,1518.0,716.0,802.0
5397,4538.0,2106.0,2432.0
5404,4518.0,2107.0,2411.0
5405,3257.0,1549.0,1708.0
5406,3153.0,1499.0,1654.0
5407,3126.0,1508.0,1618.0
5408,2884.0,1383.0,1501.0
5409,2579.0,1247.0,1332.0
5410,5437.0,2585.0,2852.0
5411,3139.0,1515.0,1624.0
5412,3902.0,1845.0,2057.0
5413,1114.0,561.0,553.0
5441,2149.0,1055.0,1094.0
5442,2669.0,1255.0,1414.0
6433,504.0,211.0,293.0
6434,878.0,424.0,454.0
6435,864.0,409.0,455.0
6436,810.0,382.0,428.0
6437,858.0,419.0,439.0
6438,847.0,400.0,447.0
6439,2064.0,972.0,1092.0
6440,574.0,280.0,294.0
6441,937.0,455.0,482.0
6442,2911.0,1403.0,1508.0
6443,658.0,304.0,354.0
6444,666.0,301.0,365.0
6445,731.0,344.0,387.0
6446,744.0,352.0,392.0
6447,572.0,285.0,287.0
6448,1033.0,491.0,542.0
6449,609.0,282.0,327.0
6450,940.0,449.0,491.0
6451,544.0,259.0,285.0
6452,669.0,336.0,333.0
6453,711.0,325.0,386.0
6454,582.0,283.0,299.0
6455,950.0,410.0,540.0
6456,923.0,437.0,486.0
6457,519.0,240.0,279.0
6458,590.0,260.0,330.0
6459,899.0,407.0,492.0
6460,958.0,429.0,529.0
6461,634.0,277.0,357.0
6462,771.0,332.0,439.0
6671,2931.0,1378.0,1553.0
6672,1645.0,773.0,872.0
6785,2084.0,931.0,1153.0
6786,2858.0,1338.0,1520.0
6787,2752.0,1265.0,1487.0
