SECCION,LISTA_NOMINAL_2026,HOMBRES_2026,MUJERES_2026,ESTRUCTURA_IZQUIERDA_2012,ESTRUCTURA_IZQUIERDA_2015,ESTRUCTURA_IZQUIERDA_2018,ESTRUCTURA_IZQUIERDA_2021,ESTRUCTURA_IZQUIERDA_2024,ESTRUCTURA_TRADICIONAL_2012,ESTRUCTURA_TRADICIONAL_2015,ESTRUCTURA_TRADICIONAL_2018,ESTRUCTURA_TRADICIONAL_2021,ESTRUCTURA_TRADICIONAL_2024,LISTA_NOMINAL_HIST_2012,LISTA_NOMINAL_HIST_2015,LISTA_NOMINAL_HIST_2018,LISTA_NOMINAL_HIST_2021,LISTA_NOMINAL_HIST_2024,PARTICIPACION_PCT_2012,PARTICIPACION_PCT_2015,PARTICIPACION_PCT_2018,PARTICIPACION_PCT_2021,PARTICIPACION_PCT_2024,VOTOS_MC_2012,VOTOS_MC_2015,VOTOS_MC_2018,VOTOS_MC_2021,VOTOS_MC_2024,VOTOS_NULOS_2012,VOTOS_NULOS_2015,VOTOS_NULOS_2018,VOTOS_NULOS_2021,VOTOS_NULOS_2024,VOTOS_TOTALES_2012,VOTOS_TOTALES_2015,VOTOS_TOTALES_2018,VOTOS_TOTALES_2021,VOTOS_TOTALES_2024,ESTRUCTURA_IZQUIERDA_2017_EST,ESTRUCTURA_IZQUIERDA_2023_EST,ESTRUCTURA_TRADICIONAL_2017_EST,ESTRUCTURA_TRADICIONAL_2023_EST,LISTA_NOMINAL_HIST_2017_EST,LISTA_NOMINAL_HIST_2023_EST,VOTOS_TOTALES_2017_EST,VOTOS_TOTALES_2023_EST,ELECTORES_MENORES_25,VOTO_DURO_TRADICIONAL,VOTO_DURO_IZQUIERDA,ORFANDAD_NARANJA,VOLATILIDAD_PSI,ABSTENCION_PROYECTADA_2026,INDICE_IRC,INDICE_IEE,VOTOS_TOTALES_PROYECTADOS_2026
5176,1758.0,801.0,957.0,703.0,131.0,537.0,502.0,497.0,1376.0,901.0,5060.0,4924.0,5051.0,0.0,0.0,1888.0,1889.0,1876.0,0.0,0.0,78.92,66.97,76.81,23.0,38.0,39.0,23.0,108.0,30.0,43.0,23.0,17.0,21.0,1413.0,1132.0,1490.0,1265.0,1441.0,387.0,330.0,4995.0,5077.0,1866.0,1878.0,1359.0,1341.0,142.0,3912.0,441.0,100.0,0.1826086956521739,435.0,100.0,12.6,121
5267,3384.0,1556.0,1828.0,1163.0,142.0,660.0,309.0,1036.0,1603.0,972.0,7819.0,7071.0,8177.0,0.0,0.0,3016.0,3183.0,3443.0,0.0,0.0,69.5,26.11,47.05,31.0,55.0,69.0,12.0,135.0,54.0,63.0,84.0,34.0,61.0,1661.0,1266.0,2096.0,831.0,1620.0,423.0,967.0,7155.0,8264.0,2865.0,3345.0,1580.0,1633.0,664.0,5865.857142857143,671.4285714285714,0.0,0.5304347826086957,1823.0,100.0,26.52,170
5268,3515.0,1648.0,1867.0,1115.0,140.0,594.0,561.0,1013.0,1592.0,1116.0,7557.0,7461.0,8255.0,0.0,0.0,2930.0,3154.0,3482.0,0.0,0.0,68.7,45.12,46.98,43.0,25.0,53.0,30.0,138.0,64.0,52.0,72.0,65.0,63.0,1685.0,1400.0,2013.0,1423.0,1636.0,396.0,1024.0,6865.0,8339.0,2734.0,3358.0,1621.0,1680.0,792.0,5883.571428571428,691.8571428571429,0.0,0.5478260869565217,1846.0,100.0,27.39,175
5269,5403.0,2542.0,2861.0,1636.0,211.0,966.0,938.0,1814.0,2322.0,1707.0,12164.0,11808.0,13509.0,0.0,0.0,4688.0,4991.0,5480.0,0.0,0.0,68.94,44.46,57.21,31.0,57.0,67.0,47.0,288.0,141.0,89.0,134.0,71.0,85.0,2496.0,2110.0,3232.0,2219.0,3135.0,643.0,1351.0,11050.0,12793.0,4432.0,5258.0,2468.0,2354.0,1017.0,9336.142857142857,1079.857142857143,781.0,0.7391304347826086,2345.0,100.0,49.41,430
5270,3872.0,1809.0,2063.0,1089.0,185.0,779.0,664.0,1438.0,1642.0,1060.0,8535.0,8347.0,9506.0,0.0,0.0,3306.0,3552.0,3866.0,0.0,0.0,68.48,43.86,59.0,35.0,60.0,61.0,63.0,215.0,96.0,99.0,99.0,46.0,84.0,1742.0,1427.0,2264.0,1558.0,2281.0,499.0,1087.0,7764.0,9178.0,3099.0,3722.0,1776.0,1800.0,822.0,6576.0,820.1428571428571,481.0,0.7304347826086957,1585.0,100.0,47.07,316
5272,3427.0,1543.0,1884.0,1100.0,255.0,1074.0,918.0,1145.0,2057.0,1432.0,9051.0,8761.0,9454.0,0.0,0.0,3378.0,3435.0,3558.0,0.0,0.0,79.51,65.53,76.39,50.0,67.0,64.0,71.0,232.0,72.0,87.0,42.0,57.0,52.0,2196.0,1871.0,2686.0,2251.0,2718.0,685.0,1019.0,8604.0,9436.0,3237.0,3505.0,2297.0,2473.0,441.0,6970.714285714285,885.1428571428571,245.0,0.45217391304347826,840.0,100.0,27.12,294
5363,5008.0,2419.0,2589.0,463.0,102.0,848.0,733.0,1289.0,923.0,723.0,7902.0,9525.0,12400.0,0.0,0.0,2981.0,3839.0,4803.0,0.0,0.0,72.56,52.98,68.87,20.0,22.0,49.0,42.0,306.0,55.0,27.0,48.0,45.0,47.0,968.0,877.0,2163.0,2034.0,3308.0,434.0,1027.0,6512.0,11549.0,2581.0,4531.0,1458.0,2537.0,865.0,7076.285714285715,699.4285714285714,771.0,0.40869565217391307,1495.0,100.0,32.09,404
5364,3963.0,1913.0,2050.0,959.0,126.0,958.0,648.0,1603.0,1519.0,949.0,8274.0,8057.0,9635.0,0.0,0.0,3192.0,3437.0,3876.0,0.0,0.0,68.86,39.57,60.35,23.0,27.0,46.0,30.0,185.0,90.0,28.0,66.0,40.0,45.0,1616.0,1129.0,2198.0,1360.0,2339.0,507.0,914.0,7514.0,8884.0,2995.0,3690.0,1737.0,1550.0,676.0,6404.571428571428,816.4285714285714,789.0,0.391304347826087,1537.0,100.0,36.43,252
5365,2735.0,1291.0,1444.0,650.0,104.0,627.0,615.0,719.0,1058.0,733.0,5705.0,6018.0,6253.0,0.0,0.0,2186.0,2431.0,2682.0,0.0,0.0,70.4,53.43,43.48,7.0,19.0,32.0,22.0,140.0,44.0,37.0,53.0,26.0,26.0,1069.0,869.0,1539.0,1299.0,1166.0,297.0,750.0,5138.0,6488.0,2029.0,2571.0,1212.0,1378.0,525.0,4484.714285714285,537.4285714285714,0.0,0.22608695652173913,1516.0,100.0,11.3,155
5367,2564.0,1207.0,1357.0,575.0,95.0,563.0,427.0,640.0,967.0,673.0,5129.0,5213.0,5771.0,0.0,0.0,2000.0,2196.0,2480.0,0.0,0.0,69.95,43.85,42.3,14.0,20.0,41.0,18.0,103.0,68.0,52.0,49.0,17.0,43.0,1015.0,881.0,1399.0,963.0,1049.0,237.0,671.0,4704.0,5893.0,1871.0,2374.0,1101.0,1186.0,533.0,4050.0,458.2857142857143,0.0,0.3739130434782609,1431.0,100.0,18.7,122
